text,valence,arousal,emotion
我把权限给你,0.02,0.04,中性
不好不坏就这样,0.15,0.15,中性
把过期的票据都扔掉了,0.1,0.0,中性
先把这个做完,0.0,0.1,neutral
备注写好了,0.0,0.0,中性
账单付过了,0.0,0.0,中性
记录已经更新了,0.04,0.01,中性
水已经烧了,0.0,0.0,中性
这个应该还可以用,0.1,0.0,neutral
我看过那个了,0.0,0.0,neutral
这边帮您处理好了,0.14,0.14,平静
现在看是没问题的,0.1,0.0,neutral
快递寄出了,0.0,0.0,中性
我看一下记录,0.01,0.03,中性
我没想太多,0.0,-0.1,neutral
下次吧,0.0,-0.01,中性
弄着呢,0.0,0.0,中性
我看了一下说明,0.0,0.0,neutral
先放保险箱里吧,0.01,-0.02,平静
我看这个应该没坏,0.1,0.0,neutral
我先把这个弄完,0.01,0.05,中性
药已经吃了,0.0,0.0,中性
开心就好,0.68,0.33,开心
好吃,0.7,0.3,positive
我很期待这次聚会，但又害怕见到老同学,0.1,0.4,喜欢但不安
怦然心动,0.75,0.5,喜欢
今天做的事情比预想中要顺利一万倍，效率飞起，能够早早收工,0.7,0.4,开心
我很想换个新发型，但又担心不适合自己,0.1,0.2,喜欢但不安
高兴得紧,0.76,0.48,高兴
掩饰不住的开心,0.82,0.53,开心
这个桥段写得太丝滑了，完全是神来之笔，好开心,0.8,0.4,开心
我这就帮你弄好,0.38,0.18,满意
这边已经搞定完了,0.14,0.15,满意
我成了！哈哈哈哈终于让我给熬到这一天了，简直是大获全胜,0.8,0.6,开心
哈哈哈哈这个搞笑视频太有梗了，肚子都给我笑得一阵阵抽筋,0.8,0.5,开心
无比开心,0.88,0.64,开心
这次的交期还算及时,0.36,0.06,满意
越看越喜欢,0.85,0.5,喜欢
真切的喜欢,0.79,0.42,喜欢
这正是我一直在找的,0.8,0.4,满意
替你高兴,0.76,0.41,高兴
喜欢你,0.8,0.55,喜欢
今天早上的空气闻起来很清新,0.3,-0.1,轻微开心
不错,0.55,0.15,满意
这波不亏,0.75,0.6,开心
吵死了,0.7,0.8,烦躁
马上就要去玩了，兴奋得一整个晚上都睡不着觉！,0.8,0.9,兴奋
开心加倍,0.85,0.58,开心
这个好消息来得太突然了吧！,0.91,0.88,兴奋
忍不住笑出声,0.82,0.65,开心
好爽啊！这种亲手重构规则、打破原有既定范式的感觉简直极致享受！,0.9,0.7,兴奋
创造历史了,0.91,0.87,兴奋/成就感
带劲,0.82,0.81,兴奋/成就感
太爽了,0.92,0.9,兴奋/成就感
乐坏了,0.8,0.6,开心
买到喜欢的衣服了,0.85,0.6,开心
得意洋洋,0.75,0.6,成就感
这比啥都强,0.8,0.6,开心
太迷人了,0.8,0.55,喜欢
天呐！我竟然在最后一秒成功了！,0.91,0.89,惊喜
这种极致的碰撞感太带感了，这就是我想要的！,0.8,0.7,兴奋
他对我笑的那一下，世界都亮了！,0.92,0.82,心动
爽歪歪,0.85,0.6,开心
他真的好温柔我好心动,0.86,0.55,心动
欧耶,0.8,0.65,开心
激动得已经完全词穷了，现在只想下楼围着小区疯狂大喊狂奔三圈,0.8,0.8,兴奋
承认他确实让我失望了，翻篇吧，以后他的好坏与我无关,0.4,-0.2,释然
现在感觉心里像卸下了千斤重担,0.7,-0.5,relaxed
坐在窗边吹吹晚风，听听纯音乐，感觉心里挺安静、挺踏实,0.3,-0.6,平静
这下所有的顾虑都消除了,0.7,-0.4,relaxed
有点伤感，不过这也是成长的代价,0.1,-0.2,释然夹杂疲惫
可以安心休息一下了,0.75,-0.6,放松
狠狠伸个懒腰，感觉浑身关节都舒展开了，真是太惬意了,0.6,-0.4,放松
清闲,0.55,-0.5,放松
虽然留下了很多难以弥补的不完美，但现阶段这个交代我也接受了,0.3,-0.2,释然
我很想念过去，但理智告诉我不能回头,0.1,-0.1,释然夹杂疲惫
真轻松,0.68,-0.4,放松
在厨房里慢慢煮一碗热汤，热气冒出来，感觉被治愈了,0.6,-0.3,放松
终于能坦然面对这个事实了,0.5,-0.22,释然
不用看工作群的消息，这种完全脱网的状态真好。,0.5,-0.4,放松
泡在温泉里太舒服了,0.78,-0.7,放松
能做成这样已经不错了,0.28,-0.01,释然
看看窗外，感觉挺舒服的,0.3,-0.4,calm
还好虚惊一场,0.5,-0.4,relaxed
与自己和解,0.35,0.2,释然
终于把这个烂摊子给彻底撇清了,0.5,-0.2,relief
不想再去强求什么绝对的公平和合理解释了，各自安好就挺好,0.2,-0.4,释然
现在整个人都是松弛的,0.75,-0.6,放松
已经麻木了,-0.5,-0.75,麻木
下班回到家，坐在沙发上一句话也不想说，发呆到天黑,-0.4,-0.7,疲惫
好累,-0.6,-0.6,疲惫
身心俱疲,-0.33,-0.6,疲惫
心空了，什么都装不下了,-0.41,-0.61,麻木
已经完全无感了，习惯了这种冷暴力和长期的敷衍，随你们的便吧,-0.4,-0.8,麻木
眼皮重得像压了块砖，纯粹是在靠最后的一点意志力死撑,-0.3,-0.7,疲惫
我已经连续连轴转好几天了，现在只想倒头就睡。,-0.5,-0.7,疲惫
随便吧,-0.4,-0.7,麻木
熬不动了,-0.54,-0.78,疲惫
高强度运转了这么久，感觉自己每分每秒都在严重的精神透支。,-0.6,-0.7,疲惫
没有一点动力,-0.6,-0.7,无力
有点小心酸，不过看到他们那么幸福也挺好,0.2,-0.2,释然夹杂疲惫
考砸了归考砸了，至少这个折磨人的学期终于结束了,0.1,-0.4,释然夹杂疲惫
反正结果都不会变,-0.34,-0.9,无力
又是一天，累到不想动,-0.66,-0.54,疲惫
今天的晚饭随便吃了点剩菜,-0.1,-0.2,轻微疲惫
已经不痛不痒了,-0.41,-0.74,麻木
提不起一点精神，世界毁灭都无所谓了,-0.5,-0.7,麻木
有点小委屈，不过哭过一场就好了,0.1,-0.3,释然夹杂疲惫
每天都浑浑噩噩的,-0.29,-0.79,麻木
已经累到极致，不想再说话,-0.6,-0.7,疲惫
脑子有病吧,-0.8,0.7,愤怒
你可真是个省钱小能手，把质量全省了,-0.7,0.5,失望
这质量，真是超乎我的想象力上限,-0.6,0.4,失望
我是不是真的注定要失败啊……,-0.8,-0.1,焦虑
怎么又这样,-0.68,0.62,烦躁
气炸了,-0.82,0.8,负向
你说的很有道理，但下次别说了,-0.6,0.4,阴阳怪气
害怕极了,-0.75,0.88,焦虑
越想越害怕，这种看不到头的感觉太折磨人了。,-0.7,0.7,焦虑
催什么催,-0.6,0.6,烦躁
懒得理你,-0.65,0.48,讨厌
够了，我一点都不想再听那些冠冕堂皇的废话了。,-0.8,0.6,愤怒
气的胃疼,0.7,0.75,愤怒
这种完全不可控的随机性，真的要把我逼疯了。,-0.7,0.8,焦虑
滚开啊,-0.88,0.95,愤怒
差劲透了,-0.82,0.64,糟糕
离我远点,-0.75,0.65,讨厌
完蛋了,-0.8,0.85,焦虑
气的睡不着,0.7,0.8,愤怒
忍无可忍,-0.8,0.85,愤怒
感觉自己一直在原地打转，未来的方向到底在哪……,-0.5,0.5,焦虑
烦到爆炸,-0.8,0.85,烦躁
本来还抱有一丝期待的，结果还是这样，算了。,-0.6,-0.2,失望
原本以为遇到了志同道合的伙伴，结果只是个自私的路人,-0.5,-0.1,失望
高估了我们在彼此心里的位置,-0.65,-0.47,失望
听到那首老歌的时候，瞬间哭成狗，直接破防,-0.6,0.1,悲伤
到头来不过是一场空忙活，真的好绝望，好痛苦,-0.9,-0.2,悲伤
好压抑，快要窒息了,-0.77,-0.42,悲伤
感觉整个人都空了,-0.35,-0.69,疲惫
天天重复这些毫无技术含量的机械性琐事，真的有点绷不住,-0.4,-0.5,疲惫
感觉自己被掏空了，什么都不剩,-0.8,-0.7,心空
随便吧，爱怎样怎样，我已经没有任何感觉了。,-0.5,-0.9,麻木
这饼太硬，我牙不好咬不动,-0.5,0.3,失望
肩膀和脖子僵硬得厉害，整个人像被卡车来回碾压过一样,-0.5,-0.6,疲惫
随便怎么样都行,-0.33,-0.57,麻木
已经没有什么能伤害到我了,-0.5,-0.7,麻木
对不起，我今天真的一句话都不想讲,-0.4,-0.5,疲惫
我好想念我失去的那个小生命啊……,-0.7,-0.2,悲伤
掏心掏肺地付出了那么多，到头来发现全喂了狗,-0.7,0.3,失望
看着那些曾经留下的痕迹，心里酸得不行，真的太遗憾了。,-0.6,-0.5,悲伤
你开心就好，不用在意我的情绪,-0.6,0.4,失望
算了吧，爱咋咋地，我真的没有精力再去和他们肉搏折腾了。,-0.5,-0.7,疲惫
叹气，感觉自己在这种没有安全感的环境里待太久了。,-0.7,-0.5,悲伤
为什么生活总是这样，刚刚看到一点希望就被掐灭了。,-0.7,-0.4,悲伤
你赢了,0.4,0.3,阴阳怪气
不用道歉，您哪会有错啊,-0.7,0.5,阴阳怪气
太会了太会了,0.5,0.45,阴阳怪气
说得很好下次别说了,0.55,0.4,反讽
大聪明就是你,0.55,0.5,反讽
您这逻辑，牛顿听了都得连夜买站票走,-0.7,0.6,阴阳怪气
笑死，太棒了,0.6,0.45,反讽
你牛你牛,0.4,0.4,阴阳怪气
行吧你开心就好,0.5,0.35,阴阳怪气
太有实力了,0.5,0.4,阴阳怪气
您说的都对，错的全是我，毕竟您怎么可能会放屁呢,-0.6,0.6,阴阳怪气
您可真是个活菩萨，专门来渡我的吧,-0.7,0.5,阴阳怪气
真是不容易啊，您这种大忙人还能在百忙之中回我一个句号,-0.4,0.3,阴阳怪气
这效率，我仿佛看到了未来的曙光，虽然很微弱,-0.5,0.3,阴阳怪气
可把你厉害坏了，要不要给你鼓个掌,-0.8,0.8,阴阳怪气
不愧是您，一出手就惊艳全场,-0.6,0.5,阴阳怪气
你觉得是就是吧,0.5,0.4,阴阳怪气
谢谢你全家,0.55,0.45,阴阳怪气
嗯嗯好的呢,0.4,0.3,阴阳怪气
没关系，你继续装，我看着呢,-0.6,0.4,阴阳怪气
天秀,0.5,0.4,阴阳怪气
真行啊你，这过河拆桥、卸磨杀驴的本事练得炉火纯青,-0.5,0.5,阴阳怪气
堵得慌,0.15,0.4,复杂
又脆弱又坚强,0.25,0.45,复杂
虽然被分到了最累的小组，但组员们都超级给力、毫无怨言,0.3,0.3,复杂但偏正
怪怪的,0.1,0.25,复杂
虽然没有拿第一，但打破了个人记录,0.3,0.4,复杂但偏正
他表达了感谢，但能听出只是客套话,0.0,0.0,复杂但偏负
一言难尽,0.1,0.3,复杂
我挺想和他合作的，但他的性格太强势了,0.1,0.2,复杂但偏负
大脑过载,0.2,0.5,复杂
心里有点小小的嫉妒，不过更多的是为好朋友感到骄傲,0.3,0.1,复杂但偏正
爽完就后悔,0.3,0.4,复杂
落选归落选，至少看到了自己的差距,-0.1,-0.1,复杂但偏负
被掏空但还有希望,0.25,0.35,复杂
重新见面的感觉很好，但我们都回不去了,0.1,0.2,复杂但偏负
虽然错过了花期，但绿意盎然的景色也不错,0.2,-0.1,复杂但偏正
微妙的情绪,0.15,0.3,复杂
说不清,0.1,0.2,复杂
虽然被批评了，但感觉方向更明确了,0.1,0.2,复杂但偏正
悲喜交加,0.25,0.5,复杂
我挺喜欢这个城市的，但消费水平太高了,0.1,0.2,复杂但偏正
身体累了但心还热着,0.3,0.4,复杂
虽然没能留下那个最好的作品，但创作的过程让我找到了久违的快乐,0.3,-0.1,复杂但偏正
有点难办，不过也不是完全没有办法,0.1,0.1,复杂但偏正
丢脸归丢脸，至少把真相弄清楚了,-0.1,0.1,复杂但偏负
